STATE/UT,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,CRUELTY BY HUSBAND OR RELATIVES,DOWRY DEATH,IMMORAL TRAFFIC(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,INSULT TO THE MODESTY OF WOMEN,KIDNAPPING & ABDUCTION,RAPE
Andhra Pradesh,4128,8167,466,349,909,2286,931,946
Arunachal Pradesh,43,14,0,0,0,0,51,31
Assam,878,1808,60,22,0,6,1351,1095
Bihar,688,1880,909,9,1,11,674,985
Chhattisgarh,1481,601,79,7,0,105,149,898
Goa,19,24,2,25,0,7,13,31
Gujarat,722,3684,54,74,14,92,859,236
Haryana,344,1618,222,57,0,1302,271,353
Himachal Pradesh,250,221,6,5,0,18,96,126
Jammu & Kashmir,875,71,10,2,0,376,615,211
Jharkhand,424,559,262,6,0,2,262,712
Karnataka,1585,1704,194,1361,0,84,244,321
Kerala,1947,2930,33,159,16,68,102,394
Madhya Pradesh,6848,2938,648,33,0,705,608,2738
Maharashtra,2661,5452,368,179,8,682,626,1268
Manipur,44,4,0,0,0,0,71,18
Meghalaya,13,4,0,1,0,1,10,40
Mizoram,88,3,0,0,0,0,2,54
Nagaland,4,0,0,1,0,2,3,14
Odisha,1669,1289,279,11,0,188,373,725
Punjab,346,987,110,54,1,199,295,380
Rajasthan,2715,5733,389,51,87,33,1750,1050
Sikkim,25,1,0,1,0,0,0,10
Tamil Nadu,2022,1555,220,2839,6,881,632,557
Tripura,127,247,20,0,0,0,29,114
Uttar Pradesh,1098,2626,1322,47,0,4970,1499,911
Uttarakhand,136,317,93,0,0,98,134,107
West Bengal,1186,4948,329,152,1,71,801,1002
A&N Islands,9,7,0,0,0,2,2,2
Chandigarh,11,93,1,4,0,4,28,18
D&N Haveli,4,2,0,2,0,0,4,1
Daman & Diu,3,0,1,0,0,0,1,5
Delhi UT,489,1211,130,46,0,105,797,490
Lakshadweep,1,1,0,0,0,0,0,2
Puducherry,56,4,1,13,0,27,13,2
